country_iso3,country_name,case_group,airport_name,airport_iata,airport_lat,airport_lon,scenario,model_version,annual_saf_tonnes,plant_availability,process_average_power_mw,process_rated_power_mw,best_candidate_id,best_candidate_kind,best_lat,best_lon,distance_to_airport_km,transport_mode,crosses_water,delivered_cost_usd_per_tonne_saf,delivered_cost_eur_per_tonne_saf,delivered_cost_energy_allocated_usd_per_tonne_saf,annual_renewable_cost_usd,annual_process_cost_usd,annual_transport_cost_usd,annual_water_cost_usd,gross_annual_cost_usd,coproduct_credit_usd_per_tonne_saf,annual_coproduct_credit_usd,renewable_cost_share,process_cost_share,transport_cost_share,water_cost_share,wacc_used,wacc_process_used,h2_storage_geology,h2_storage_capex_usd_per_kwh_used,sizing_mode,scenario_year,mandate_synthetic_share,airport_fuel_kt_2024,carbon_source,dac_fraction,co2_delivered_cost_usd_per_t,co2_mean_haul_km,annual_co2_purchase_usd,operating_strategy,synthesis_oversize,synthesis_load_min,fuel_storage_tonnes,fuel_storage_days,wind_mw,solar_mw,renewable_capacity_mw,renewable_capacity_overbuild_ratio,battery_mwh,seasonal_h2_storage_mwh,annual_generation_mwh,annual_demand_mwh,generation_to_demand_ratio,curtailed_energy_frac,electrolyser_oversize_ratio,effective_annual_cf,adequacy_cf_used_for_sizing,selected_main_resource,solar_share,solar_cf_annual,wind_cf_annual,resource_source,raw_nasa_solar_cf_annual,raw_nasa_wind_cf_annual,candidate_validity_note,resource_rank,distance_rank,renewable_capex_usd,process_capex_usd,transport_capex_component_usd,fixed_logistics_cost_usd,total_annual_cost_usd,gross_annual_cost_eur,total_annual_cost_eur,n_candidates_screened_out,n_candidates_total
CHE,Switzerland,core_eu27_uk_ch,Zurich Airport,ZRH,47.4582,8.5555,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00000,grid,46.2106357891564,6.675290859156185,268.97260094085146,rail,False,5491.912286718776,5073.977761699478,3130.390003429702,1870758997.9726324,2076096013.5254,15186541.478213314,22940579.55613543,3984982132.5323815,0.0,0.0,0.46032284712133287,0.5108484999291405,0.003736831958982049,0.0056448066839917925,0.041,0.051000000000000004,rock,2.05656,fixed,,,,market,0.8513945832030377,118.1359635867164,119.12388817070392,79032959.63951327,steady_h2_store,1.0,1.0,0.0,0.0,10931.089605889954,6558.653763533972,17489.743369423926,4.602516432885426,865.9826452248703,691430.724402184,34619878.12891017,33288344.354721304,1.0400000000000005,0.02111360502169286,1.1111,0.22596334313313896,0.22596334313313896,mixed,0.375,0.11210047837918415,0.2946255592274283,heuristic,0.11210047837918415,0.2946255592274283,valid,1.0,8.0,21264533826.67113,17096523256.618677,0.0,4004880.0,3984982132.5323815,3681724992.2466674,3681724992.2466674,0,8
BEL,Belgium,core_eu27_uk_ch,Brussels Airport,BRU,50.9014,4.4844,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00000,grid,50.765882899430295,3.287792155214853,115.25577056228985,road,False,5585.437355987537,5160.385573196885,3183.6992929128955,1957611999.905321,2062192937.0529757,11851834.016961558,22973051.55613543,4054629822.531394,0.0,0.0,0.4736283755215354,0.4989308866290272,0.002867455293835481,0.005558143845578769,0.04,0.05,rock,2.05656,fixed,,,,market,0.8487290151887424,115.40942863345595,98.13245745146541,78593820.8993835,steady_h2_store,1.0,1.0,0.0,0.0,11401.638176340699,7601.092117560466,19002.730293901164,5.002199509689826,861.3251109782981,653666.6632284886,34609270.12891017,33278144.35472131,1.0400000000000003,0.02550222546435235,1.1111,0.20790854063005731,0.20790854063005731,mixed,0.4,0.08,0.2935536894491148,heuristic,0.08,0.2935536894491148,valid,1.0,4.0,22460230654.933292,17078249855.703634,0.0,4004880.0,4054629822.531394,3746072493.036755,3746072493.036755,0,5
NLD,Netherlands,core_eu27_uk_ch,Amsterdam Schiphol Airport,AMS,52.3105,4.7683,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00004,quartile,51.40436483395223,4.282257793166596,143.29209469487478,road,False,5607.013502007876,5180.319774505077,3195.997696144489,1973259408.6569028,1911982912.1001747,13760629.951427372,26301431.55613543,3925304382.2646403,0.0,0.0,0.47557701929919993,0.4608087159237295,0.003316461762335371,0.006338931601133278,0.05,0.060000000000000005,salt,0.97416,fixed,,,,market,0.5755082937234755,117.15625809585971,111.5811937658576,223885609.22118792,steady_h2_store,1.0,1.0,0.0,0.0,11280.92614804232,6074.344848945866,17355.270996988187,4.669684436295432,743.3166516389505,793531.6415684315,33859560.11545744,32557269.341786,1.0399999999999998,0.03085692663071234,1.1111,0.22271312209376096,0.22271312209376096,mixed,0.35000000000000003,0.08000000000000002,0.2999762864881658,heuristic,0.08000000000000002,0.2999762864881658,valid,1.0,3.0,20828967687.364605,14783545809.035439,0.0,4004880.0,3925304382.2646403,3626588718.7743015,3626588718.7743015,0,6
CYP,Cyprus,core_eu27_uk_ch,Larnaca International Airport,LCA,34.8751,33.6249,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00000,grid,35.08141754374276,32.81938304761777,103.8047385654029,road,False,5710.434816628397,5275.870727082976,3254.947845478186,1545431724.9774551,2648087559.9078646,11072213.863558784,21130265.55613543,4225721764.305014,0.0,0.0,0.3657201801670502,0.6266592330513705,0.002620194722020413,0.005000392059558761,0.06,0.06999999999999999,rock,2.05656,fixed,,,,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.1,0.6643363518146462,43634.44645084251,21.522395884537183,6556.044029516127,9834.066044274194,16390.11007379032,4.240700244745192,1237.292170918629,0.0,36565553.903099015,33856994.35472131,1.08,0.074074074074074,1.2222222222222223,0.2546749210435866,0.2546749210435866,solar,0.6000000000000001,0.2206640538181248,0.3056164565864679,heuristic,0.2206640538181248,0.3056164565864679,valid,2.0,2.0,15385857658.699295,19698836203.049282,0.0,4004880.0,4225721764.305014,3904144338.041403,3904144338.041403,0,3
GRC,Greece,core_eu27_uk_ch,Athens International Airport,ATH,37.9364,23.9475,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00000,grid,38.925767605326605,20.620966129404326,418.3866312099803,rail,False,5764.4321727469305,5325.75888440089,3285.72633846575,1842825785.6632288,2381883107.5453625,19840649.06800176,21130265.55613543,4265679807.832729,0.0,0.0,0.4320122157972087,0.5583830045498727,0.004651227931259621,0.004953551721658902,0.06,0.06999999999999999,salt,0.97416,fixed,,,,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,7583.969222507365,10260.66424221585,17844.633464723214,4.617036808206128,1125.6401794714475,1363884.5400736097,36565553.90309901,33856994.35472131,1.0799999999999998,0.06980225742982889,1.1111,0.233916263799425,0.233916263799425,solar,0.5750000000000001,0.1901225760425653,0.29293242227954636,heuristic,0.1901225760425653,0.29293242227954636,valid,1.0,9.0,18417329954.406857,17652943170.291336,0.0,4004880.0,4265679807.832729,3941061574.4566584,3941061574.4566584,0,15
AUT,Austria,core_eu27_uk_ch,Vienna International Airport,VIE,48.1103,16.5697,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00007,grid,48.56599110423508,16.925758601126915,77.08173430151326,road,False,5782.689497982795,5342.626827186305,3296.1330138501926,2032465403.9652853,1913039627.7817426,9252832.633180555,27649019.556135427,3982406883.936344,0.0,0.0,0.47496495725413934,0.4470564582610477,0.0021622858856658656,0.006461273764354332,0.053,0.063,rock,2.05656,fixed,,,,market,0.4648872211302212,123.19773539681361,158.09416879783825,296783344.5709239,steady_h2_store,1.0,1.0,0.0,0.0,10887.095207360882,6532.25712441653,17419.352331777412,4.704918189942245,740.4741858855258,647165.650180197,33730080.115457445,32432769.341786005,1.04,0.025026347659859772,1.1111,0.22104528878381335,0.22104528878381335,mixed,0.375,0.09565538972411387,0.2966567678568243,heuristic,0.09565538972411387,0.2966567678568243,valid,2.0,1.0,21068544807.47467,14524930409.01254,0.0,4004880.0,3982406883.936344,3679345720.0687885,3679345720.0687885,1,11
MLT,Malta,core_eu27_uk_ch,Malta International Airport,MLA,35.8575,14.4775,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00002,quartile,35.850272136454414,14.494722441651154,2.3596759988243132,road,False,5815.926938592534,5373.334898565642,3315.0783549977436,1693213061.4911644,2585277073.7845345,4165533.726640916,21130265.55613543,4303785934.558475,0.0,0.0,0.39342408921759514,0.6006983416682777,0.0009678766067783662,0.004909692507348924,0.049,0.059000000000000004,rock,2.05656,fixed,,,,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5632739053826746,63528.77261081728,31.33513784182204,7832.359880985809,11748.539821478716,19580.899702464525,5.066270195058523,1294.1712529618244,0.0,36565553.90309901,33856994.35472131,1.0799999999999998,0.07407407407407389,1.2777777777777777,0.21317457585531013,0.21317457585531013,solar,0.6000000000000001,0.2132171057347997,0.21279095008272256,heuristic,0.2132171057347997,0.21279095008272256,valid,1.0,1.0,18347577066.85953,20488454610.005257,0.0,4004880.0,4303785934.558475,3976267824.938575,3976267824.938575,0,4
LUX,Luxembourg,core_eu27_uk_ch,Luxembourg Airport,LUX,49.6266,6.2115,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00001,airport_or_nearest_boundary,49.62659999680268,6.211500000000002,4.799606707790663e-07,road,False,5819.85887480244,5376.967614429975,3317.319558637391,2040712172.0114062,2240848249.7535863,4004880.0326771433,21130265.55613543,4306695567.353806,0.0,0.0,0.4738463957101328,0.5203173093403598,0.0009299194637845951,0.004906375485722724,0.045,0.055,rock,2.05656,fixed,,,,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,11355.123813282004,7570.082542188004,18925.206355470007,4.896619172304018,1125.6401794714475,694100.4777302771,35211274.12891016,33856994.35472131,1.04,0.02712282090854298,1.1111,0.21239144058463633,0.21239144058463633,mixed,0.4,0.0820487083546488,0.29967636750605625,heuristic,0.0820487083546488,0.29967636750605625,valid,1.0,1.0,22512320874.855988,18115265357.63228,0.0,4004880.0,4306695567.353806,3978956034.678181,3978956034.678181,0,5
CZE,Czechia,core_eu27_uk_ch,Vaclav Havel Airport Prague,PRG,50.1008,14.2632,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00006,grid,50.74184651363071,15.81107674000427,176.56423862778166,rail,False,6010.872415355257,5553.445024546722,3426.197276752496,2105611413.3879168,2177259953.1249413,12308107.239966013,23971565.55613543,4319151039.30896,0.0,0.0,0.47337900928220233,0.4894868792061486,0.0027670820809332377,0.005389235583430123,0.055,0.065,rock,2.05656,fixed,,,,market,0.7667627987491623,122.75671243231453,154.69875917955878,128894548.05393025,steady_h2_store,1.0,1.0,0.0,0.0,10693.263600038823,7903.71657394174,18596.980173980563,4.941970126131698,752.6140263635009,657801.8502389652,34283074.12891017,32964494.354721308,1.0400000000000003,0.025096787324484057,1.1111,0.21044238905872437,0.21044238905872437,mixed,0.42500000000000004,0.08000000000000002,0.3072476079828751,heuristic,0.08000000000000002,0.3072476079828751,valid,1.0,8.0,21581604132.463947,16516342777.566088,0.0,4004880.0,4319151039.30896,3990463645.2175484,3990463645.2175484,0,14
HUN,Hungary,core_eu27_uk_ch,Budapest Ferenc Liszt International Airport,BUD,47.4369,19.2556,base,v3,740000.0,0.9,3864.953693461336,4294.392992734818,C00003,grid,46.13548326255811,19.371098191341055,195.7203420665456,rail,False,6114.798956587604,5649.462755991288,3485.4354052549343,2013766325.4275277,2458141206.281557,12904801.983053634,21536165.55613543,4506348499.248273,0.0,0.0,0.4450360289017537,0.5432414809553735,0.0028519206800632097,0.004759424902409397,0.056,0.066,rock,2.05656,fixed,,,,market,0.9666803998213089,124.0181908436914,164.41080656943973,18602728.62655371,flex_fuel_store,1.05,0.843322024764905,19151.695434221336,9.446444369582146,9467.65602600266,11571.579587336586,21039.235613339246,5.464170379626629,1110.3590088121846,0.0,36427853.903099015,33729494.35472131,1.08,0.07407407407407407,1.1666666666666667,0.19765123064734982,0.19765123064734982,solar,0.55,0.12093524068059663,0.2915088345390109,heuristic,0.12093524068059663,0.2915088345390109,valid,1.0,6.0,20583091997.113464,18668671658.132317,0.0,4004880.0,4506348499.248273,4163415378.4554796,4163415378.4554796,0,10
